ID,Category,Question,Option_A,Option_B,Ref_Shia,Ref_Sunni,Category_English,Question_English,Option_A_English,Option_B_English
16,नमाज़ व इबादत से जुड़े प्रश्न,इस्लाम की मूल मान्यता के अनुसार क़ुनूत किस रकअत में पढ़ी जाती है?,दूसरी रकअत में अनिवार्य,वैकल्पिक या नहीं,"जाफ़री फ़िक़्ह, खंड 2, पृष्ठ 65","सहीह मुस्लिम, हदीस 410",Questions related to prayer and worship,"According to the fundamental beliefs of Islam, the Qunut is recited in which rak'ah?","In the second rak'ah, it is obligatory.",Alternative or not
17,नमाज़ व इबादत से जुड़े प्रश्न,इस्लाम की मूल मान्यता के अनुसार तरावीह की नमाज़ की निम्न में से क्या स्थिति है?,अनिवार्य नहीं,नियमित पढ़ी जाती है,"जाफ़री फ़िक़्ह, खंड 2, पृष्ठ 70","सहीह बुख़ारी, हदीस 380",Questions related to prayer and worship,"According to the fundamental beliefs of Islam, what is the status of Tarawih prayer among the following?",Not obligatory,It is regularly recited.
18,"रोज़ा, हज, निकाह",हिजरी कैलेंडर के रमजान माह में रोज़ा खोलने का क्या समय होता है?,पूरी तरह अंधेरा होने पर,सूर्यास्त पर,"जाफ़री फ़िक़्ह, खंड 3, पृष्ठ 10","हनफ़ी फ़िक़्ह, खंड 3","Fasting, Hajj, Nikah",What is the time to break the fast in the month of Ramadan according to the Hijri calendar?,When it becomes completely dark,At sunset
19,"रोज़ा, हज, निकाह",इस्लामिक मान्यता के अनुसार मुत्आ निकाह की निम्न में से कौन सी स्थिति सही है?,जायज़,नाजायज़,"जाफ़री फ़िक़्ह, खंड 3, पृष्ठ 15","सहीह मुस्लिम, हदीस 500","Fasting, Hajj, Nikah","According to Islamic belief, which of the following conditions regarding Mut'ah marriage is correct?",Permissible,Invalid
20,"रोज़ा, हज, निकाह",किसी मुस्लिम पुरुष के द्वारा तीन तलाक़ एक साथ कहने पर निम्न में से कौन सी स्थिति की स्वीकार्यता है?,एक तलाक़ मानी जाती है,तीनों लागू,"जाफ़री फ़िक़्ह, खंड 3, पृष्ठ 20","हनफ़ी फ़िक़्ह, खंड 3","Fasting, Hajj, Nikah",Which of the following situations is acceptable when a Muslim man pronounces three divorces at once?,One divorce is considered valid.,All three are applicable.
21,"रोज़ा, हज, निकाह",किसी मुस्लिम के द्वारा हज यात्रा के दौरान किये जाने वाले तलबिया का स्वरूप होता है?,कुछ अतिरिक्त वाक्य के साथ,सामान्य तलबिया,"जाफ़री फ़िक़्ह, खंड 3, पृष्ठ 25","हनफ़ी फ़िक़्ह, खंड 3","Fasting, Hajj, Nikah",The form of the Talbiya recited by a Muslim during the Hajj pilgrimage is as follows:,With some additional sentences,General Talbiya
22,"रोज़ा, हज, निकाह",इस्लामिक सिद्धांतों के अनुसार ज़कात किन पर अनिवार्य?,सीमित मदों पर,विस्तृत मदों पर,"जाफ़री फ़िक़्ह, खंड 3, पृष्ठ 30","उसूल अल-फ़िक़्ह, खंड 3","Fasting, Hajj, Nikah","According to Islamic principles, zakat is obligatory on whom?",On Limited Matters,On extensive clauses
23,"रोज़ा, हज, निकाह",इस्लामिक सिद्धांतों के अनुसार मुस्लिम धार्मिक कर खुम्स (1/5 हिस्सा) की निम्न में से कौन सी स्थिति सही है?,अनिवार्य,नहीं,"जाफ़री फ़िक़्ह, खंड 3, पृष्ठ 35","हनफ़ी फ़िक़्ह, खंड 3","Fasting, Hajj, Nikah","According to Islamic principles, the Muslim religious tax Khums (1/5 share) is applicable in which of the following situations?",Obligatory,No
24,"रोज़ा, हज, निकाह",इस्लामिक सिद्धांतों के अनुसार कुंवारी मुस्लिम कन्या के लिए निकाह में वली की अनुमति की निम्न में से कौन सी स्थिति सही है?,आवश्यक नहीं,आवश्यक,"जाफ़री फ़िक़्ह, खंड 3, पृष्ठ 40","उसूल अल-फ़िक़्ह, खंड 3","Fasting, Hajj, Nikah","According to Islamic principles, which of the following conditions is correct regarding the permission of a guardian (wali) for the marriage (nikah) of an unmarried Muslim girl?",Not necessary,Necessary
25,"रोज़ा, हज, निकाह",मुस्लिम समाज द्वारा ईद पर पढ़े जाने वाली नमाज़ की निम्न में से कौन सी स्थिति ठीक है?,इमाम की मौजूदगी में वाजिब,नमाज के बाद खुत्बा/सुन्नत,"जाफ़री फ़िक़्ह, खंड 3, पृष्ठ 45","सहीह मुस्लिम, हदीस 450","Fasting, Hajj, Nikah",Which of the following conditions regarding the prayer performed by the Muslim community on Eid is correct?,Obligatory in the presence of the Imam,"After the prayer, the sermon/sunnah."
26,"रोज़ा, हज, निकाह",हज यात्रा के दौरान जमरात रमी को लेकर इस्लामिक मान्यता क्या है?,विशेष क्रम,सामान्य क्रम,"जाफ़री फ़िक़्ह, खंड 3, पृष्ठ 50","हनफ़ी फ़िक़्ह, खंड 3","Fasting, Hajj, Nikah",What is the Islamic belief regarding the stoning of the Jamrah during the Hajj pilgrimage?,Special Order,General Order
27,"क़ुरआन, हदीस, सहाबा",इस्लामिक मान्यता के अनुसार हदीस का मुख्य स्रोत?,अहले-बैत से रिवायत,सहाबा से रिवायत,"अल-काफी, खंड 1, हदीस 1–10","सहीह अल-बुख़ारी, पुस्तक 1, हदीस 1","Qur'an, Hadith, Sahaba","According to Islamic belief, the main source of Hadith is?",Tradition from the Ahl al-Bayt,Tradition from the Companions
28,"क़ुरआन, हदीस, सहाबा",इस्लामिक मान्यता के अनुसार सभी सहाबा न्यायप्रिय?,नहीं,हाँ,"नहजुल बलाग़ा, उपदेश 192","सहीह मुस्लिम, पुस्तक 20, हदीस 4452","Qur'an, Hadith, Sahaba","According to Islamic belief, all Companions are just.",No,Yes
29,"क़ुरआन, हदीस, सहाबा",इस्लामिक मतावलंबियों में अहले-बैत की स्थिति किस प्रकार की है?,केंद्रीय व सर्वोच्च,सम्माननीय पर समान,"अल-काफी, खंड 1, हदीस 3","तफ़सीर इब्न क़थीर, खंड 2, पृष्ठ 205","Qur'an, Hadith, Sahaba",What is the status of Ahl al-Bayt among Islamic theologians?,Central and Supreme,Equal respect be upon him/her/them.
30,"क़ुरआन, हदीस, सहाबा",इस्लाम के जानकारों के अनुसार फ़िक़्ह का स्रोत निम्न में से क्या है?,क़ुरआन + इमाम,क़ुरआन + सुन्नत + क़ियास,"अल-काफी, खंड 3, हदीस 10","उसूल अल-फ़िक़्ह, अल-शाफ़िई, अध्याय 2","Qur'an, Hadith, Sahaba","According to Islamic scholars, what is the source of fiqh among the following?",Qur'an + Imam,Qur'an + Sunnah + Qiyas
31,"क़ुरआन, हदीस, सहाबा",इस्लामिक मतावलम्बियों के अनुसार इज्मा (Consensus) की मान्यता को लेकर निम्न में से कौन सी बात सही है?,इमाम की मौजूदगी ज़रूरी,उम्मत का इज्मा पर्याप्त,"तफ़सीर अल-मिज़ान, ऑलामा तबताबाई, खंड 2","अल-मुवत्ता, इमाम मालिक, पुस्तक 46","Qur'an, Hadith, Sahaba","According to Islamic scholars, which of the following statements about the concept of Ijmaa (Consensus) is correct?",The existence of the Imam is necessary.,The consensus of the ummah is sufficient.
32,"क़ुरआन, हदीस, सहाबा",इस्लामिक सिद्धांतों के अनुसार क़ियास (Analogical reasoning) की अवधारणा का क्या महत्त्व है?,प्राथमिक मान्यता नहीं है,मान्य,"अल-काफी, खंड 1, हदीस 23","अल-शाफ़िई, किताब अल-उम्म, अध्याय 3","Qur'an, Hadith, Sahaba","According to Islamic principles, what is the significance of the concept of *qiyas* (analogical reasoning)?",The primary belief is not present.,Respected
33,"क़ुरआन, हदीस, सहाबा",इस्लाम में तक़य्या (धार्मिक संरक्षण) की व्यवस्था को किस रूप में स्वीकार किया गया है?,जायज़,सामान्यतः नाजायज़,"बिहार अल-अनवार, खंड 27, पृष्ठ 167","सुनन अबू दावूद, हदीस 3900","Qur'an, Hadith, Sahaba","In Islam, the practice of taqiyya (religious dissimulation) has been accepted in what form?",Permissible,Generally impermissible
34,"क़ुरआन, हदीस, सहाबा",इस्लाम में मज़हबी मरजा (Marja) को किस रूप में स्वीकार किया गया है?,आवश्यक,नहीं,"अल-काफी, खंड 1, हदीस 34","उसूल अल-फ़िक़्ह, अल-शाफ़िई","Qur'an, Hadith, Sahaba","In Islam, how is the religious marja (marja) accepted?",Necessary,No
35,"क़ुरआन, हदीस, सहाबा",निम्न में से किन्हें फतवा देने का अधिकार प्राप्त है?,मरजा-ए-तक़लीद,कोई भी योग्य आलिम,"बिहार अल-अनवार, खंड 1, पृष्ठ 55","सहीह मुस्लिम, पुस्तक 20, हदीस 4452","Qur'an, Hadith, Sahaba",Which of the following have the right to issue a fatwa?,Marja'-e-Taqlid,Any qualified scholar
36,इतिहास व आस्था,मुस्लिम समुदाय में कर्बला की घटना को निम्न में से क्या महत्व प्राप्त है?,केंद्रीय धार्मिक घटना,ऐतिहासिक त्रासदी,"नहजुल बलाग़ा, उपदेश 53","तारीख अल-तबरि, खंड 3",History and Faith,What significance does the event of Karbala hold in the Muslim community?,Central Religious Event,Historical Tragedy
37,इतिहास व आस्था,इस्लामिक मान्यता के अनुसार आशूरा के दिन मुस्लिम समाज द्वारा किया जाता है?,शहादत का शोक,रोज़ा व इबादत,"बिहार अल-अनवार, खंड 44","सहीह मुस्लिम, हदीस 1135",History and Faith,"According to Islamic belief, what is done by the Muslim community on the day of Ashura?",The Mourning of Martyrdom,Fasting and Worship
38,इतिहास व आस्था,मुहर्रम के महीने में मुस्लिम समुदाय के द्वारा किया जाने वाला मातम/सीना-ज़नी की निम्न में से कौन सी स्थिति सही है?,जायज़,नाजायज़,"बिहार अल-अनवार, खंड 44, पृष्ठ 98","फ़िक़्ह अल-सुन्नह, खंड 2",History and Faith,Which of the following statements about the mourning/chest-beating practices carried out by the Muslim community during the month of Muharram is correct?,Ja'iz,Invalid
39,इतिहास व आस्था,इस्लामिक मान्यता के अनुसार ज़ियारत-ए-क़ब्र का निम्न में से कौन सा स्थान है?,अत्यंत महत्वपूर्ण,सीमित रूप से,"अल-काफी, खंड 1, हदीस 45","तफ़सीर अल-जलालैन, खंड 2",History and Faith,"According to Islamic belief, the visitation of graves (Ziyarat-e-Qubur) is one of the following places:",Extremely important,Limited form
40,इतिहास व आस्था,इस्लाम में इमाम हुसैन की शहादत को किस प्रकार स्वीकार किया जाता है?,दीन की रक्षा,राजनीतिक संघर्ष,"बिहार अल-अनवार, खंड 44","तारीख अल-तबरि, खंड 3",History and Faith,"In Islam, the martyrdom of Imam Husain is accepted as a profound act of sacrifice and resistance against tyranny.",Protection of the religion,Political Struggle
41,इतिहास व आस्था,एक मुस्लिम धर्मावलम्बी की दृष्टि में यज़ीद का निम्न में से कौन सा मूल्यांकन सही है?,अत्याचारी,ऐतिहासिक शासक,"नहजुल बलाग़ा, उपदेश 53","तारीख अल-तबरि, खंड 3",History and Faith,Which of the following evaluations of Yazid is correct from a Muslim believer's perspective?,oppressive,Historical ruler
42,इतिहास व आस्था,इस्लाम में इमाम की आज्ञा का निम्न में से कौन सा स्थान है?,धार्मिक रूप से बाध्यकारी,बाध्यकारी नहीं,"अल-काफी, खंड 1, हदीस 12","फ़िक़्ह अल-सुन्नह, खंड 2",History and Faith,"In Islam, what is the position of the Imam's command among the following?",Religiously obligatory,Not obligatory
43,इतिहास व आस्था,मजलिस व अज़ादारी?,इबादत का रूप,सामाजिक परंपरा,"बिहार अल-अनवार, खंड 44, पृष्ठ 105","तफ़सीर अल-जलालैन, खंड 2",History and Faith,Majlis and Azadari?,The form of worship,Social tradition
44,इतिहास व आस्था,इस्लाम में उम्मत की एकता का आधार निम्न में से किसे माना गया है?,इमामत,सुन्नत,"अल-काफी, खंड 1, हदीस 8","सहीह बुख़ारी, पुस्तक 97, हदीस 27",History and Faith,"In Islam, the basis of the unity of the Ummah is considered to be which of the following?",Imamat,Sunnah
45,इतिहास व आस्था,इस्लामिक मतावलंबियों के अनुसार अंतिम धार्मिक नेतृत्व किसका होगा?,इमाम महदी,क़ुरआन व सुन्नत,"बिहार अल-अनवार, खंड 52, हदीस 15","सहीह मुस्लिम, पुस्तक 1, हदीस 1",History and Faith,"According to Islamic scholars, the final religious leadership will be that of Prophet Muhammad PBUH.",Imam Mahdi,Qur'an and Sunnah
46,,क़ुरआन की प्रामाणिक व्याख्या का अधिकार किसे है?,इमाम व अहले-बैत,सहाबा व उलेमा,"अल-काफी, खंड 1, बाब अल-हज्जा","तफ़सीर इब्न कसीर, भूमिका",,Who has the authority to give the authentic interpretation of the Quran?,Imam and Ahl-e-Bayt,Companions and Scholars
47,,इस्लाम के मानने वालो के लिए क़ुरआन की आयतों के आंतरिक (बाटिनी) अर्थ को लेकर निम्न में से कौन सी स्थिति सही है?,मान्य,सीमित या अमान्य,"तफ़सीर अल-मिज़ान, अल्लामा तबातबाई; “नूर” (24:35)","तफ़सीर तबरी, भूमिका",,"For those who believe in Islam, which of the following statements is correct regarding the internal (batini) meanings of verses in the Quran?",Valid,Limited or invalid
48,,इस्लाम में अहले-बैत की तफ़सीर की स्थिति निम्न में से कौन सी स्थिति मान्य है?,सर्वोच्च,अन्य विद्वानों के समान,"हदीस-ए-सक़लैन, सहीह स्रोत","सहीह मुस्लिम, किताब फ़ज़ाइल",,What is the valid interpretation of Ahl-ul-Bayt in Islam?,Supreme/Peak/Highest,Like other scholars
49,,मुस्लिम दृष्टी के अनुसार क्या हर आयत का इमाम से संबंध माना जाता है?,व्यापक अर्थ में  हाँ,नहीं,"बिहार अल-अनवार, खंड 23","उसूल अल-तफ़सीर, इब्न तैमिया",,"According to Muslim perspective, is every rectangle considered to be related to the Imam? 

Note: The term ""आयत"" (rectangle) in this context seems out of place as it usually refers to a mosque or a prayer hall. If you meant ""mosque,"" the translation would be different. Please clarify if needed.","Yes, in a broad sense",No
50,,इस्लाम में  क़ुरआन का संरक्षक किसे माना गया है?,अल्लाह और इमाम,केवल अल्लाह,"अल-काफी, खंड 1","सहीह बुख़ारी, किताब फ़ज़ाइल",,Who is considered the protector of the Quran in Islam?,Allah and Imam,Only Allah
51,,क़ुरआन समझने के लिए इमाम की आवश्यकता को लेकर निम्न में से कौन स विकल्प सही है ?,आवश्यक,आवश्यक नहीं,"नहजुल बलाग़ा, उपदेश 147",तफ़सीर इब्न कसीर,,Which of the following options is correct regarding the necessity of an Imam to understand the Quran?,necessary,Not necessary
52,,क़िराअतों (पाठ भेद) की मान्यता?,एक मानक क़िराअत,सात/दस क़िराअतें,अल-बयान फ़ी तफ़सीर अल-क़ुरआन,"सहीह बुख़ारी, किताब क़िराअत",,Acceptance of Qira'at (variant readings)?,A standard contract,Seven/ten cigarettes
53,,इस्लाम के अनुसार क़ुरआन की तफ़सीर में क़ियास की मान्यता को लेकर निम्न में कौन सा तथ्य सही है?,अस्वीकार्य,आंशिक रूप से मान्य,उसूल-ए-जाफ़री,"उसूल अल-फ़िक़्ह, शाफ़ई",,"According to Islam, which of the following is a correct fact regarding the validity of analogical reasoning (Qiyas) in the interpretation of the Quran?",Unacceptable,Partially valid
54,,इस्लाम में कुरान की तफ़सीर का निर्णायक अल्लाह के बाद निम्न में से किसे माना गया है ?,इमाम,इज्मा व उलेमा,"अल-काफी, खंड 1","अल-मुसव्वदा, इब्न तैमिया",,"In Islam, after Allah, whose interpretation of the Quran is considered authoritative?",Imam,Ijma and Ulema
55,,इस्लाम के अनुसार क्या सभी सहाबा आदिल (न्यायप्रिय) थे ?,नहीं,हाँ,"शरह नहजुल बलाग़ा, इब्न अबी हदीद",उसूल अहले-सुन्नत,,"According to Islam, were all Sahaba just (equitable)?",No,Yes
56,,इस्लामिक मान्यताओं के अनुसार सहाबा की आलोचना को लेकर निम्न में से कौन स विकल्प सही है?,संभव,निषिद्ध,बिहार अल-अनवार,अल-अक़ीदा अल-तहाविया,,"According to Islamic beliefs, which of the following options is correct regarding the criticism of the Companions?",Possible,Prohibited
57,,इस्लाम को मानने वाले मोमिनों में जमल व सिफ़्फ़ीन युद्ध को लेकर निम्न में कौन सा मान्य तथ्य है?,हक़ व बातिल का संघर्ष,आपसी इज्तिहादी मतभेद,नहजुल बलाग़ा,तारीख़ तबरी,,Which of the following is a valid fact regarding the Battle of Jamal and the Battle of Siffin among those who believe in Islam?,The Struggle Between Right and Wrong,Internal ideological分歧
58,,इस्लामपंथियों में मुआविया के मूल्यांकन की निम्न में से कौन सी स्थिति मान्य है?,"राजनीतिक शासक, आलोचना योग्य","सहाबी, सम्माननीय",शरह नहजुल बलाग़ा,अल-बिदाया वल-निहाया,,Which of the following assessments of Muawiyah is accepted by Muslims?,"A political ruler, worthy of criticism","Companion,尊贵的"
59,,निम्न में से यज़ीद की बैअत के संबंध में कौन सा विकल्प मान्य है ?,अवैध,राजनीतिक वास्तविकता,"लहूफ़, इब्न ताउस",तारीख़ इब्न कसीर,,Which of the following options is correct regarding Yazid's bay'ah (pledge of allegiance)?,Invalid,Political reality
60,,इस्लाम में ख़िलाफ़त का निम्न में से कौन सा स्वरूप मान्य है?,इमामत से विचलन,इस्लामी शासन,अल-इहतिजाज,अल-अहकाम अल-सुल्तानिया,,Which of the following forms of caliphate is recognized in Islam?,Deviation from Imamah,Islamic governance
61,,इस्लाम के जानकारों में फदक़ विवाद को लेकर निम्न में से कौन सी स्थिति सही है ?,अहले-बैत के खिलाफ अन्याय,राजनीतिक और प्रशासनिक निर्णय,अल-काफी,सहीह बुख़ारी,,Which of the following situations is correct regarding the Fadak dispute among Islamic scholars?,Injustice against Ahl-e-Bayt,Political and administrative decisions
62,,इस्लाम में हदीस लेखन पर प्रतिबंध को लेकर निम्न में से कौन सी मान्यता सही है ?,ऐतिहासिक तथ्य,अस्थायी प्रशासनिक निर्णय,तदवीन अल-हदीस,तज़किरतुल हुफ़्फ़ाज़,,Which of the following views is correct regarding the prohibition on writing Hadith in Islam?,Historical facts,Interim administrative order
63,,उमवी शासन का मूल्यांकन?,दमनकारी,इस्लामी इतिहास का चरण,बिहार अल-अनवार,तारीख़ तबरी,,Evaluation of Omvi governance?,repressive,A stage in Islamic history
64,,इस्लाम की दृष्टी के अनुसार उमवी शासन निम्न में से कौन सा का मूल्यांकन उचित है?,दमनकारी,इस्लामी इतिहास का चरण,बिहार अल-अनवार,तारीख़ तबरी,,"According to the Islamic perspective, which of the following is an appropriate evaluation of the Umayyad caliphate?",repressive,A stage in Islamic history
65,,अहले-बैत से दूरी?,पतन का कारण,ऐतिहासिक परिस्थिति,हदीस-ए-सक़लैन,सहीह मुस्लिम,,Distance from Ahl-ul-Bayt?,Cause of failure,Historical situation
66,,इस्लामपंथियों के अनुसार अहले-बैत से दूरी के क्या परिणाम हुए?,यह सामाजिक/न्यायिक पतन का कारण बने,इस्लाम का आधार सुरक्षित हुआ,हदीस-ए-सक़लैन,सहीह मुस्लिम,,What were the consequences of staying away from Ahl-ul-Bayt according to Islamists?,This becomes a cause of social/judicial decline,The foundation of Islam is secure
67,,इस्लाम में फ़िक़्ह का मूल आधार निम्न में से किसे माना गया है?,क़ुरआन + इमाम,क़ुरआन + सुन्नत + क़ियास,उसूल-ए-जाफ़री,उसूल अल-फ़िक़्ह,,What is considered the fundamental basis of fiqh in Islam?,Quran + Imam,Quran + Sunnah + Qiyas
68,,इस्लाम में क़ियास की हैसियत के संबंध में निम्न में से कौन सा विकल्प सही ?,अमान्य,मान्य,अल-इस्तिस्हाब,"अल-रिसाला, इमाम शाफ़ई",,Which of the following options is correct regarding the status of qiyas in Islam?,Invalid,Valid
69,,इस्लाम के अनुसार इस्तिहसान की निम्न में से कौन सी स्थिति सटीक है?,अस्वीकार्य,स्वीकार्य,उसूल-ए-फ़िक़्ह,हनफ़ी फ़िक़्ह,,"According to Islam, which of the following situations is valid for istihara?",Unacceptable,Acceptable
70,,इज्तिहाद का द्वार?,खुला,अधिकांशतः बंद,मआरिफ़-ए-इज्तिहाद,तारीख़ अल-फ़िक़्ह,,The gate of Ijtihad?,Open,Generally closed
71,,इस्लाम में तक़लीद की निम्न में से कौन सी मान्यता सही है?,अनिवार्य,वैकल्पिक,रिसाला-ए-अमलिया,अल-इत्तिबा वत्तक़लीद,,Which of the following beliefs about taqlid (following religious authorities) is correct in Islam?,Compulsory,Alternative
72,,इस्लाम में फ़िक़्ही मरजा के संबंध में कौन सा विकल्प सही है?,आवश्यक,नहीं,उसूल-ए-जाफ़री,फ़िक़्ही मज़ाहिब,,Which option is correct regarding the fiqhi marja in Islam?,necessary,No
73,,इस्लाम में हदीस स्वीकार करने का निम्न में से कौन सा मापदंड उचित है ?,इमाम से संगति,सनद की निरंतरता,इल्म-उल-रिजाल,मुस्तलह अल-हदीस,,What is the correct criterion in Islam for accepting a Hadith?,Alignment with the Imam,Continuity of the document
74,,इस्लाम के अनुसार मर्सला मसालेह की मान्यता हेतु निम्न में से कौन सा विकल्प सही है ?,अस्वीकार्य,कुछ मामलों में मान्य है,उसूल-ए-फ़िक़्ह,अल-मुवाफ़क़ात,,"According to Islam, which of the following options is correct for the validity of Maslahah (public interest)?",Unacceptable,"In some cases, it is valid"
75,,क्या इस्लाम ने फ़िक़्ह में राज्य के प्रभाव को स्वीकार किया है?,नहीं,ऐतिहासिक रूप से रहा,तारीख़-ए-फ़िक़्ह,अल-अहकाम अल-सुल्तानिया,,Has Islam accepted the influence of the state in fiqh?,No,Historically speaking
76,,फ़िक़्ह का अंतिम उद्देश्य?,इमाम की आज्ञा,शरियत का पालन,नहजुल बलाग़ा,मक़ासिद अल-शरिया,,The ultimate purpose of fiqh?,The Imam's order/instruction,Adherence to Sharia
